Task,Metric,Score
T1_001,Structure Capture,
T1_001,Minimality,
T1_001,Reconstructability,
T1_001,Transferability,
T1_002,Structure Capture,
T1_002,Minimality,
T1_002,Reconstructability,
T1_002,Transferability,
T2_001,Core Judgment,
T2_001,Mapping Quality,
T2_001,Invariant Detection,
T2_001,Difference Localization,
T2_002,Core Judgment,
T2_002,Mapping Quality,
T2_002,Invariant Detection,
T2_002,Difference Localization,
T3_001,Fit,
T3_001,Minimality,
T3_001,Predictive Power,
T3_001,Robustness,
T3_002,Fit,
T3_002,Minimality,
T3_002,Predictive Power,
T3_002,Robustness,
T4_001,Structuring,
T4_001,Consistency,
T4_001,Boundary Awareness,
T4_001,Testability,
T4_002,Structuring,
T4_002,Consistency,
T4_002,Boundary Awareness,
T4_002,Testability,
